title,url,equipment,muscle,slug,instructions,difficulty,force,grips,mechanic
Band Bayesian Hammer Curl,https://musclewiki.com/band/male/biceps/band-bayesian-hammer-curl,band,biceps,band-bayesian-hammer-curl,"[""Attach band to a low anchor point. Use a neutral grip.\\"", ""Flex your elbow until you feel your biceps contract. Then fully extend elbows.\\""]",,,,
Band Kneeling Single Arm Pulldown,https://musclewiki.com/band/male/biceps/band-kneeling-single-arm-pulldown,band,biceps,band-kneeling-single-arm-pulldown,"[""Place the band at about eye level. Fall into a kneeling position.\\"", ""The knee that is on the ground should be the same side as the working arm. Stick your chest out.\\"", ""And then pull your elbow straight back. Flex your lats and then extend into the starting position.\\""]",,,,
Band Bayesian Reverse Curl,https://musclewiki.com/band/male/biceps/band-bayesian-reverse-curl,band,biceps,band-bayesian-reverse-curl,"[""Attach band to a low anchor point. . Point your palms toward your thighs.\\"", ""Flex your elbow until you feel your biceps contract. Then fully extend elbows.\\""]",,,,
Band Row,https://musclewiki.com/band/male/biceps/band-row,band,biceps,band-row,"[""Stand on your band with both feet.\\"", ""Hinge forward at the hips while keeping a flat back.\\"", ""Let your arms hang freely, then pull your elbows straight back toward the ceiling.\\""]",,,,
Band High Curl,https://musclewiki.com/band/male/biceps/band-high-curl,band,biceps,band-high-curl,"[""Anchor a band to a high point.\\"", ""Start with your feet staggered and your elbows high.\\"", ""Flex your elbows while keeping your arms high. Curl the band to your forehead.\\""]",,,,
Band High Hammer Curl,https://musclewiki.com/band/male/biceps/band-high-hammer-curl,band,biceps,band-high-hammer-curl,"[""Start with the band anchored to something high with your feet staggered and a neutral grip.\\"", ""Keep your elbows high. Curl until your fists are at your forehead.\\""]",,,,
Band High Reverse Curl,https://musclewiki.com/band/male/biceps/band-high-reverse-curl,band,biceps,band-high-reverse-curl,"[""Start with a band attached to a high point, your feet staggered, and an overhand grip.\\"", ""Flex your elbows pulling your forearms to your biceps. Your fists should land by your forehead.\\""]",,,,
Band Curl,https://musclewiki.com/band/male/biceps/band-curl,band,biceps,band-curl,"[""Stand with your feet shoulder-width apart, with the band under both feet.\\"", ""Grasp the handles of the band with both hands, keeping your arms straight and extended in front of you.\\"", ""Keep your back straight, abs engaged, and shoulders relaxed as you curl your hands towards your shoulders, bending at the elbows.\\""]",,,,
Band Reverse Curl,https://musclewiki.com/band/male/biceps/band-reverse-curl,band,biceps,band-reverse-curl,"[""Start by standing on the center of the band with both feet, shoulder-width apart.\\"", ""Hold the band with both hands, palms facing down, arms extended straight in front of you.\\"", ""Slowly curl your hands towards your shoulders, pulling the band tight, then lower your arms back to the starting position, keeping tension on the band throughout the exercise.\\""]",,,,
Band Squat Hold Single Arm Row,https://musclewiki.com/band/male/biceps/band-squat-hold-single-arm-row,band,biceps,band-squat-hold-single-arm-row,"[""Anchor the band to a stable point and take a half squat position.\\"", ""Hold the band loop in one hand and pull your elbow straight back.\\""]",,,,
Band Squat Hold Row,https://musclewiki.com/band/male/biceps/band-squat-hold-row,band,biceps,band-squat-hold-row,"[""Anchor the band to a stable point.\\"", ""Take a half squat position and hold there.\\"", ""Perform a row while holding the squat position.\\""]",,,,
Band Single Arm Pulldown,https://musclewiki.com/band/male/biceps/band-single-arm-pulldown,band,biceps,band-single-arm-pulldown,"[""Anchor the band to a high point. Go into a seated position.\\"", ""Grab the loop of the band and pull your upper arm to your side.\\""]",,,,
Band Single Arm Row,https://musclewiki.com/band/male/biceps/band-single-arm-row,band,biceps,band-single-arm-row,"[""Anchor band to a stable point.\\"", ""Step back until there is no slack in the band and hold the end of the band with one hand.\\"", ""Pull through the elbow straight back.\\""]",,,,
Plate Bicep Curl,https://musclewiki.com/plate/male/biceps/plate-bicep-curl,plate,biceps,plate-bicep-curl,[],,,,
Plate Curl To Overhead Press,https://musclewiki.com/plate/male/biceps/plate-curl-to-overhead-press,plate,biceps,plate-curl-to-overhead-press,"[""Stand with feet shoulder-width apart and the plate in front of the torso, palms facing forward.\\"", ""Curl the plate up to the front of the shoulder while keeping the elbows close to the body.\\"", ""Rotate the palms to face forward and press the plate overhead, locking out the arms.\\"", ""Lower the plate back to the starting position, keeping control of it, and repeat for desired reps.\\""]",,,,
Plate Curl To Overhead Press To Tricep Extension,https://musclewiki.com/plate/male/biceps/plate-curl-to-overhead-press-to-tricep-extension,plate,biceps,plate-curl-to-overhead-press-to-tricep-extension,"[""Stand with feet shoulder-width apart and the plate in front of the torso, palms facing forward.\\"", ""Curl the plate up to the front of the shoulder while keeping the elbows close to the body.\\"", ""Rotate the palms to face forward and press the plate overhead, locking out the arms.\\"", ""Lower the plate back behind the head to the starting position of a tricep extension.\\"", ""Push the plate back up overhead, then lower it back to the starting position and repeat for desired reps.\\""]",,,,
Plate Squat Hold Curl,https://musclewiki.com/plate/male/biceps/plate-squat-hold-curl,plate,biceps,plate-squat-hold-curl,"[""Lower into a squat position, keeping the plate at chest height.\\"", ""Slowly curl the plate towards your shoulders, keeping your elbows close to your body.\\"", ""Hold for a moment at the top of the curl before lowering the plate back to chest height.\\"", ""Repeat the curls as you hold the squat position.\\""]",,,,
Plate Pinch Grip Row,https://musclewiki.com/plate/male/biceps/plate-pinch-grip-row,plate,biceps,plate-pinch-grip-row,"[""Make sure to keep your elbow close to your body and your core engaged throughout the movement.\\"", ""Bend forward at your hips while maintaining a flat back.\\"", ""Pull the plate toward your upper abdomen.\\"", ""Lower the weight in a controlled manner and repeat.\\""]",,,,
Weighted Chin Ups,https://musclewiki.com/plate/male/biceps/weighted-chin-ups,plate,biceps,weighted-chin-ups,"[""Grab the bar shoulder width apart with a supinated grip (palms facing you). Use a dip belt and the let the weight hang between your legs.\\"", ""With your body hanging and arms fully extended, pull yourself up until your chin is past the bar.\\"", ""Slowly return to starting position. Repeat.\\""]",,,,
TRX Curl,https://musclewiki.com/trx/male/biceps/trx-curl,trx,biceps,trx-curl,"[""Hold the TRX straps with an underhand grip and lean back and away from the anchor point.\\"", ""Keep your elbows high as you flex your elbows. Pull your fists toward your forehead.\\""]",,,,
TRX Hammer Curl,https://musclewiki.com/trx/male/biceps/trx-hammer-curl,trx,biceps,trx-hammer-curl,"[""Grab the TRX straps and lean away from the anchor point.\\"", ""Maintain a neutral grip. Flex your elbows and pull your fists to either sides of your temples.\\""]",,,,
TRX Reverse Curl,https://musclewiki.com/trx/male/biceps/trx-reverse-curl,trx,biceps,trx-reverse-curl,"[""Stand facing the TRX straps and grasp the handles with both hands, palms facing away from your body.\\"", ""Walk back until the straps are taut, keeping your arms straight.\\"", ""Slowly curl your hands towards your shoulders, keeping your elbows close to your body.\\""]",,,,
TRX Rotating Row,https://musclewiki.com/trx/male/biceps/trx-rotating-row,trx,biceps,trx-rotating-row,"[""Grab the TRX straps and lean away from the anchor point until the strap is taut.\\"", ""Start with an overhand grip. Pull your elbows back and rotate your grip.\\"", ""By the time your elbows reach your side, your palms should be facing upwards.\\""]",,,,
TRX Single Arm row,https://musclewiki.com/trx/male/biceps/trx-single-arm-row,trx,biceps,trx-single-arm-row,"[""Hold the TRX strap with one hand.\\"", ""Lean back until the strap is taut. Fully extend your elbow.\\"", ""Pull your elbow behind the body. Make sure to avoid twisting. Try to keep your shoulders even.\\""]",,,,
Corpse Pose,https://musclewiki.com/yoga/male/biceps/corpe-pose,yoga,biceps,corpe-pose,"[""Lie down on your back with your legs straight and arms at your sides.\\"", ""Close your eyes and take deep breaths in through your nose and out through your mouth.\\"", ""Allow your body to completely relax and let go of any tension.\\"", ""Hold for several minutes and then slowly come back up to a seated position.\\""]",,,,
Crow Pose,https://musclewiki.com/yoga/male/biceps/crow-pose,yoga,biceps,crow-pose,"[""Begin in a squatting position with your feet together and your knees apart.\\"", ""Place your hands on the floor in front of you, shoulder-width apart. Keep your arms straight and engage your core.\\"", ""Slowly shift your weight forward and lift your feet off the ground, coming onto your tiptoes.\\"", ""Bend your elbows and lean your weight onto your hands, shifting your knees towards your upper arms.\\"", ""Gently lift one foot off the ground, and then the other, balancing on your hands. Hold the pose for a few breaths before releasing back to the ground.\\""]",,,,
Downward Dog,https://musclewiki.com/yoga/male/biceps/downward-dog,yoga,biceps,downward-dog,"[""Begin on your hands and knees with your hands shoulder-width apart and your knees hip-width apart.\\"", ""Spread your fingers wide and press down into your palms, making sure that your fingers are evenly spaced and facing forward.\\"", ""Tuck your toes under and lift your knees off the ground, straightening your legs as much as possible.\\"", ""Press your hips up and back, bringing your body into an inverted \\\\"", ""Keep your arms straight and your shoulder blades spread apart, and try to press your heels down towards the ground.\\"", ""Hold the pose for several breaths, then release and return to your starting position.\\""]",,,,
Downward Dog With Fingers Facing Feet,https://musclewiki.com/yoga/male/biceps/downward-dog-with-fingers-facing-feet,yoga,biceps,downward-dog-with-fingers-facing-feet,"[""Begin in the same starting position as the previous exercise, with your hands and knees on the ground.\\"", ""Spread your fingers wide and turn your hands so that your fingers are facing towards your feet.\\"", ""Tuck your toes under and lift your knees off the ground, straightening your legs as much as possible.\\"", ""Press your hips up and back, bringing your body into an inverted \\\\"", ""Keep your arms straight and your shoulder blades spread apart, and try to press your heels down towards the ground.\\"", ""Hold the pose for several breaths, then release and return to your starting position.\\""]",,,,
Scorpion Twist Pose,https://musclewiki.com/yoga/male/biceps/scorpion-twist-pose,yoga,biceps,scorpion-twist-pose,"[""Begin in a downward-facing dog pose.\\"", ""Slowly lift one leg up towards the ceiling, keeping your hips level and your toes pointed.\\"", ""Bend your lifted leg and try to touch your toes to the back of your head.\\"", ""Once you have a firm grip with your toes, slowly begin to twist your torso towards the lifted leg.\\"", ""Keep your hands and feet firmly planted on the ground as you hold the pose for a few breaths. Release the pose and repeat on the other side.\\""]",,,,
Seated Arm Stretch,https://musclewiki.com/yoga/male/biceps/seated-arm-stretch,yoga,biceps,seated-arm-stretch,"[""Sit cross-legged on the floor.\\"", ""Extend your arms straight out in front of you, palms facing forward.\\"", ""Cross your right arm over your left arm and interlace your fingers.\\"", ""Pull your hands away from your body and hold for a few breaths, then release and repeat with the opposite arm on top.\\""]",,,,
Bosu Ball Curl,https://musclewiki.com/bosu-ball/male/biceps/curl,bosu-ball,biceps,curl,"[""Hold the bosu vertically.\\"", ""Flex your elbows curling the bosu toward your chin.\\""]",,,,
Bosu Ball Row,https://musclewiki.com/bosu-ball/male/biceps/row,bosu-ball,biceps,row,"[""Hold bosu and hinge forward.\\"", ""Pull bosu towards chest, squeezing shoulder blades.\\""]",,,,
Vitruvian Hammer Curl,https://musclewiki.com/vitruvian/male/biceps/hammer-curl,vitruvian,biceps,hammer-curl,"[""Hold a neutral grip.\\"", ""Flex your elbows until your forearms touch your biceps.\\"", ""Extend your elbows fully to finish each rep.\\""]",,,,
Vitruvian Row,https://musclewiki.com/vitruvian/male/biceps/row,vitruvian,biceps,row,"[""Hold bosu and hinge forward.\\"", ""Pull bosu towards chest, squeezing shoulder blades.\\""]",,,,
Vitruvian Single Arm Row,https://musclewiki.com/vitruvian/male/biceps/single-arm-row,vitruvian,biceps,single-arm-row,"[""Take a staggered stance and hinge forward.\\"", ""Grab one of the handle attachments and pull your elbow toward the ceiling.\\""]",,,,
Cardio Band Hammer Curl Jacks,https://musclewiki.com/cardio/male/biceps/cardio-band-hammer-curl-jacks,cardio,biceps,cardio-band-hammer-curl-jacks,"[""Stand with a band looped under both feet and the band grasped in both hands.\\"", ""Do a light hop and bring your feet outward while simultaneously flexing the elbows.\\"", ""Bring both feet back together and extend the elbows.\\""]",,,,
Cardio Row Erg Rower Arms Only,https://musclewiki.com/cardio/male/biceps/cardio-row-erg-rower-arms-only,cardio,biceps,cardio-row-erg-rower-arms-only,"[""Make sure your feet are strapped in tightly.\\"", ""Without bending your legs, pull the handle to your ribcage.\\"", ""Fully extend your elbows before initiating the next rep.\\""]",,,,
Cardio Row Erg Rower Four Stroke Sprint Start,https://musclewiki.com/cardio/male/biceps/cardio-row-erg-rower-four-stroke-sprint-start,cardio,biceps,cardio-row-erg-rower-four-stroke-sprint-start,"[""Sit on seat, feet strapped in, grip handle with arms extended.\\"", ""Push with legs, lean back slightly. Do four small pulls with increasing distance on each rep.\\"", ""Extend arms, lean forward from hips, bend knees to return to start.\\""]",,,,
Cardio Row Erg Rower,https://musclewiki.com/cardio/male/biceps/cardio-row-erg-rower,cardio,biceps,cardio-row-erg-rower,"[""Sit on seat, feet strapped in, grip handle with arms extended.\\"", ""Push with legs, lean back slightly, pull handle to lower ribs.\\"", ""Extend arms, lean forward from hips, bend knees to return to start.\\""]",,,,
Smith Machine Drag Curl,https://musclewiki.com/smith-machine/male/biceps/smith-machine-drag-curl,smith-machine,biceps,smith-machine-drag-curl,"[""Grab the bar with an underhand grip.\\"", ""Pull your elbows straight back and let the bar drag against your upper body (or very close to it).\\""]",,,,
Smith Machine Underhand Row,https://musclewiki.com/smith-machine/male/biceps/smith-machine-underhand-row,smith-machine,biceps,smith-machine-underhand-row,"[""Begin by standing in front of a bar with your feet about hip-width apart.\\"", ""Bend at the hips and knees to grab the bar with a supinated (underhand) grip, positioning the bar about an inch away from your shins.\\"", ""Keeping your back straight and your core engaged, use your back muscles to lift the bar straight up towards your chest.\\"", ""As the bar reaches your chest, pause briefly, and then lower the bar back to the starting position.\\""]",,,,
Smith Machine Overhand Row,https://musclewiki.com/smith-machine/male/biceps/smith-machine-overhand-row,smith-machine,biceps,smith-machine-overhand-row,"[""Start hinged forward with a flat back. Make sure your elbows are fully extended.\\"", ""Pull the bar to your sternum.\\""]",,,,
Seated Ulnar Nerve Tensioner,https://musclewiki.com/recovery/male/shoulders/seated-ulnar-nerve-tensioner,recovery,shoulders,seated-ulnar-nerve-tensioner,"[""Abduct your arm at 90\u00b0 palm facing down.\\"", ""Bend your elbow and wrist to bring the palm to face the ceiling while leaning the head towards the opposite shoulder.\\"", ""Find the position of maximum tension (without pain) and hold.\\"", ""To increase the stretch, press the palm against the face and try to point the elbow up.\\""]",,,,
Seated Ulnar Nerve Slider,https://musclewiki.com/recovery/male/shoulders/seated-ulnar-nerve-slider,recovery,shoulders,seated-ulnar-nerve-slider,"[""Abduct your arm at 90\u00b0 palm facing down.\\"", ""Bend your elbow and wrist bringing your front of your fingertips to your temple while leaning the head towards the the arm.\\"", ""Lean the head away from the arm as you extend the elbow and flex the wrist.\\"", ""Alternate between positions to mobilise the ulnar nerve.\\""]",,,,
Dumbbell Service Exercise,https://musclewiki.com/recovery/male/shoulders/dumbbell-service-exercise,recovery,shoulders,dumbbell-service-exercise,"[""Stand up straight and hold a dumbbell in one arm. Perform a bicep curl across your body\\"", ""Bring the dumbbell to your shoulder and rotate palm and elbow out.\\"", ""Point the elbow towards the ceiling while the dumbbell remains just over the shoulder.\\"", ""Extend your elbow to raise the dumbbell over your head. Start lowering your arm to your side as you turn the palm to face down\\""]",,,,
Core Stability 2 Opposite Shoulder Tap 4Pt Position,https://musclewiki.com/recovery/male/biceps/core-stability-2-opposite-shoulder-tap-4pt-position,recovery,biceps,core-stability-2-opposite-shoulder-tap-4pt-position,"[""Bring yourself to the 4 point position (on all fours). 90\u00b0 angles at hips and shoulder and neutral spine.\\"", ""Lift your knees slightly off the ground supporting your weight on palms and toes.\\"", ""Maintain a toe placement roughly at shoulder width (the wider the leg stance the easier the exercise - the narrower the stance the more difficult it becomes.\\"", ""Tap your opposite shoulder with your fingertips.\\""]",,,,
Barbell High Pull,https://musclewiki.com/barbell/male/traps-middle/barbell-high-pull,barbell,traps-middle,barbell-high-pull,"[""Stand with feet hip-width apart, grip the barbell slightly wider than shoulder-width, and keep your back straight.\\"", ""Drive through your legs, extending your hips, knees, and ankles explosively while pulling the barbell upward.\\"", ""As the bar rises, pull it close to your body, leading with your elbows until it reaches chest level.\\""]",,,,
Barbell Snatch Grip High Pull,https://musclewiki.com/barbell/male/traps-middle/barbell-snatch-grip-high-pull,barbell,traps-middle,barbell-snatch-grip-high-pull,"[""Stand with feet hip-width apart, gripping the barbell with a wide (snatch-width) grip. Keep your back straight, chest up, and bar close to your body.\\"", ""Drive through your legs, extending your hips, knees, and ankles while pulling the barbell up explosively.\\"", ""Shrug your shoulders forcefully and pull the bar as high as possible, keeping elbows above the bar.\\"", ""Lower the bar back to the starting position in a controlled manner and reset for the next rep.\\""]",,,,
Dumbbell Row Bilateral,https://musclewiki.com/dumbbells/male/traps-middle/dumbbell-row-bilateral,dumbbells,traps-middle,dumbbell-row-bilateral,"[""Grab both dumbbells and hinge forward at the hips. Make sure you keep a flat back.\\"", ""The closer your torso is to parallel with the ground the longer the range of motion will be at your shoulder. The better the results you'll get from the exercise.\\"", ""Let your arms hang freely, and then pull your elbow joint straight back toward the ceiling.\\""]",,,,
Dumbbell Row Unilateral,https://musclewiki.com/dumbbells/male/traps-middle/dumbbell-row-unilateral,dumbbells,traps-middle,dumbbell-row-unilateral,"[""Brace your off arm against something stable (bench, box). Stagger your stance so your leg on the side of your working arm is back.\\"", ""Try to get your torso to parallel with the ground. That will extend your range of motion.\\"", ""Let your arm hang freely and then pull your elbow back. Imagine you've got a tennis ball in your armpit and squeeze it each rep.\\""]",,,,
Dumbbell Laying Silverback Shrug,https://musclewiki.com/dumbbells/male/traps-middle/dumbbell-laying-silverback-shrug,dumbbells,traps-middle,dumbbell-laying-silverback-shrug,"[""Lay on an incline bench with your arms hanging freely.\\"", ""Pull your shoulder blades back toward the ceiling.\\""]",,,,
Dumbbell Silverback Shrug,https://musclewiki.com/dumbbells/male/traps-middle/dumbbell-silverback-shrug,dumbbells,traps-middle,dumbbell-silverback-shrug,"[""Stand with your feet shoulder width apart holding dumbbells with both hands in front just past shoulder width.\\"", ""Bend forward at the hips with a slight bend in your knees, keeping your back straight.\\"", ""Engage your shoulder blades, as if you are trying to touch them together.\\""]",,,,
Dumbbell Seated Rear Delt Row,https://musclewiki.com/dumbbells/male/traps-middle/dumbbell-seated-rear-delt-row,dumbbells,traps-middle,dumbbell-seated-rear-delt-row,"[""Sit on a bench. Put your chest in your lap. Try to get your torso as close to parallel with the ground as your mobility will allow for.\\"", ""Let your arms hang in front of you. Pull your elbows back towards the ceiling while flaring your elbows outward.\\""]",,,,
Dumbbell Weighted Pull Ups,https://musclewiki.com/dumbbells/male/traps-middle/dumbbell-weighted-pull-ups,dumbbells,traps-middle,dumbbell-weighted-pull-ups,"[""Grasp the bar with an overhand grip, arms and shoulders fully extended.\\"", ""Pull your body up until your chin is above the bar.\\"", ""Lower your body back to starting position.\\""]",,,,
Pull Ups,https://musclewiki.com/bodyweight/male/traps-middle/pull-ups,bodyweight,traps-middle,pull-ups,"[""Grasp the bar with an overhand grip, arms and shoulders fully extended.\\"", ""Pull your body up until your chin is above the bar.\\"", ""Lower your body back to starting position.\\""]",,,,
Inverted Row,https://musclewiki.com/bodyweight/male/traps-middle/inverted-row,bodyweight,traps-middle,inverted-row,"[""Lay underneath a fixed horizontal bar and grab the bar with a wide overhand grip.\\"", ""Pull your body straight up to the bar.\\"", ""Return to the starting position, your arms fully extended. Repeat.\\""]",,,,
Elevated Pike Press,https://musclewiki.com/bodyweight/male/traps-middle/elevated-pike-press,bodyweight,traps-middle,elevated-pike-press,"[""Use a bench or an object to elevate your feet.\\"", ""Lower your head towards the floor by bending your elbows\\"", ""Push through your hands and return to the starting pike position.\\""]",,,,
Bodyweight Pike Press,https://musclewiki.com/bodyweight/male/traps-middle/bodyweight-pike-press,bodyweight,traps-middle,bodyweight-pike-press,"[""Start in a plank position. Push your hips up toward the ceiling.\\"", ""Lower your head towards the floor by bending your elbows\\"", ""Push through your hands and return to the starting pike position.\\""]",,,,
Bodyweight Overhand Inverted Row,https://musclewiki.com/bodyweight/male/traps-middle/bodyweight-overhand-inverted-row,bodyweight,traps-middle,bodyweight-overhand-inverted-row,"[""Lay underneath a fixed horizontal bar and grab the bar with a wide overhand grip.\\"", ""Pull your body straight up to the bar.\\"", ""Return to the starting position, your arms fully extended. Repeat.\\""]",,,,
Bodyweight Standing Inverted Row,https://musclewiki.com/bodyweight/male/traps-middle/bodyweight-standing-inverted-row,bodyweight,traps-middle,bodyweight-standing-inverted-row,"[""Grab a door frame or a rack and place your feet near the frame.\\"", ""Start with your elbows extended, row your body towards your hands.\\"", ""Return to the starting position, your arms fully extended. Repeat.\\""]",,,,
L Sit Pull Up,https://musclewiki.com/bodyweight/male/traps-middle/l-sit-pull-up,bodyweight,traps-middle,l-sit-pull-up,"[""Grasp the bar with an overhand grip, arms and shoulders fully extended. Pull your legs up until you're in an \\\\"", ""Pull your body up until your chin is above the bar.\\"", ""Lower your body back to starting position.\\""]",,,,
Ring Pull Up,https://musclewiki.com/bodyweight/male/traps-middle/ring-pull-up,bodyweight,traps-middle,ring-pull-up,"[""Grasp the rings with an overhand grip, arms and shoulders fully extended.\\"", ""Pull your body up until your chin is above the rings.\\"", ""Lower your body back to starting position.\\""]",,,,
Machine Plate Loaded Low Row,https://musclewiki.com/machine/male/traps-middle/machine-plate-loaded-low-row,machine,traps-middle,machine-plate-loaded-low-row,"[""Press your chest into the chest pad and grab the horizontal handles with an overhand grip.\\"", ""Pull the handles toward you, make sure your elbows stay flared out.\\""]",,,,
Kettlebell Deadlift (Single),https://musclewiki.com/kettlebells/male/traps-middle/kettlebell-deadlift-single,kettlebells,traps-middle,kettlebell-deadlift-single,"[""Stand with your feet shoulder width apart holding the kettlebell with both hands in front of your thighs.\\"", ""Bend forward at the hips bringing the kettlebell to the floor while you slightly bend your knees, keeping your back straight.\\"", ""Return to standing position and repeat.\\""]",,,,
Kettlebell Silverback Shrug (Single),https://musclewiki.com/kettlebells/male/traps-middle/kettlebell-silverback-shrug-single,kettlebells,traps-middle,kettlebell-silverback-shrug-single,"[""Stand with your feet shoulder width apart holding the kettlebell with both hands in front of your thighs.\\"", ""Bend forward at the hips bringing the kettlebell to the floor while you slightly bend your knees, keeping your back straight.\\"", ""Holding the kettlebell in both hands engage your shoulder blades, as if you are trying to touch them together. Release the shrug.\\""]",,,,
Kettlebell Incline Shrug,https://musclewiki.com/kettlebells/male/traps-middle/kettlebell-incline-shrug,kettlebells,traps-middle,kettlebell-incline-shrug,"[""Leaning across the back section of the bench, with feet firmly on the floor and with arms hanging to the sides.\\"", ""Holding the kettlebell in both hands engage your shoulder blades, as if you are trying to touch them together. Release the shrug.\\""]",,,,
Kettlebell Silverback Shrug,https://musclewiki.com/kettlebells/male/traps-middle/kettlebell-silverback-shrug,kettlebells,traps-middle,kettlebell-silverback-shrug,"[""Stand with feet hip-width apart, hold one kettlebell in each hand at your sides, and lean forward.\\"", ""Lift your shoulders backward while keeping arms straight.\\"", ""Lower shoulders back down, repeat for desired reps.\\""]",,,,
Traps mid back Stretch Variation Two,https://musclewiki.com/stretches/male/traps-middle/traps-mid-back-stretch-variation-two,stretches,traps-middle,traps-mid-back-stretch-variation-two,"[""Sit on the ground and lay one leg flat and the other over the top.\\"", ""Hold your leg with the same side arm and slowly rotate your hips and back.\\"", ""Hold at the peak of the stretch, then slowly return to starting position.\\"", ""Switch sides and repeat.\\""]",,,,
Traps mid back Stretch Variation One,https://musclewiki.com/stretches/male/traps-middle/traps-mid-back-stretch-variation-one,stretches,traps-middle,traps-mid-back-stretch-variation-one,"[""Stand up with your feet shoulder width apart. Place one arm across the front of your chest at shoulder height, press the forearm of your other arm above the elbow, hooking the stretching arm with your hand.\\"", ""Press the arm until it is straight and rotate your upper torso to engage the stretch even deeper.\\"", ""Repeat with your other arm.\\""]",,,,
Cable Silverback Shrug,https://musclewiki.com/cables/male/traps-middle/cable-silverback-shrug,cables,traps-middle,cable-silverback-shrug,"[""Use a bar attachment. Cable should be set all the way to the bottom.\\"", ""Stand up with the attachment in hand, walk a couple of steps back make sure you are standing upright and not leaning backwards.\\"", ""Retract your shoulder blades and then protract to return to the starting position.\\""]",,,,
Cable Single Arm Rear Delt Row,https://musclewiki.com/cables/male/traps-middle/cable-single-arm-rear-delt-row,cables,traps-middle,cable-single-arm-rear-delt-row,"[""Use a handle attachment, grab with an overhand grip and take a position with the cable crossing your body.\\"", ""Pull your elbows back while flaring your elbows outward.\\""]",,,,
Band Horizontal Shrug,https://musclewiki.com/band/male/traps-middle/band-horizontal-shrug,band,traps-middle,band-horizontal-shrug,"[""Anchor the band at shoulder height. Take a few steps away until the band is taut.\\"", ""Retract your shoulder blades straight back in schools. Then protract to the starting position.\\""]",,,,
Band Pull Apart,https://musclewiki.com/band/male/traps-middle/band-pull-apart,band,traps-middle,band-pull-apart,"[""Grab the band with a shoulder width grip. Point your arms straight in front of you.\\"", ""Retract your shoulder blades and shoulder joint until the band taps your chest.\\""]",,,,
Band High Face Pull,https://musclewiki.com/band/male/traps-middle/band-high-face-pull,band,traps-middle,band-high-face-pull,"[""Start with a band anchored to a high point. Stagger your stance.\\"", ""Pull the band to the bridge of your nose.\\""]",,,,
Band Rear Delt Fly,https://musclewiki.com/band/male/traps-middle/band-rear-delt-fly,band,traps-middle,band-rear-delt-fly,"[""Start by standing between the two anchored bands with your feet shoulder-width apart and the bands positioned at a high point.\\"", ""Grasp the ends of each band with your hands, keeping your palms facing each other.\\"", ""Keeping your arms slightly bent and your back straight, slowly pull the bands away from your body until your arms are extended straight out to the sides. Hold for a second, then slowly release back to the starting position. Repeat for desired reps.\\""]",,,,
Plate Internally Rotated Rear Delt Fly,https://musclewiki.com/plate/male/traps-middle/plate-internally-rotated-rear-delt-fly,plate,traps-middle,plate-internally-rotated-rear-delt-fly,"[""With plates in either hand, bend your knees with your feet slightly bowed out. Hinge forward with a flat back.\\"", ""Maintain an overhand grip and internally rotated shoulders.\\"", ""Raise your arms backward toward the ceiling while maintaining a light band in your elbows.\\""]",,,,
Plate Rear Delt Fly,https://musclewiki.com/plate/male/traps-middle/plate-rear-delt-fly,plate,traps-middle,plate-rear-delt-fly,"[""Keep your back straight and bend forward slightly at the waist.\\"", ""With arms extended, raise the weights out to your sides until they are in line with your shoulders.\\"", ""Pause briefly and then lower the weights back to the starting position.\\""]",,,,
Plate Weighted Inverted Row,https://musclewiki.com/plate/male/traps-middle/plate-weighted-inverted-row,plate,traps-middle,plate-weighted-inverted-row,"[""Lay underneath a fixed horizontal bar and grab the bar with a wide overhand grip. Place a plate on your chest.\\"", ""Pull your body straight up to the bar.\\"", ""Return to the starting position, your arms fully extended. Repeat.\\""]",,,,
Weighted Pull Ups,https://musclewiki.com/plate/male/traps-middle/weighted-pull-ups,plate,traps-middle,weighted-pull-ups,"[""Grasp the bar with an overhand grip, arms and shoulders fully extended. Weight hanging between your legs.\\"", ""Pull your body up until your chin is above the bar.\\"", ""Lower your body back to starting position.\\""]",,,,
TRX Rear Delt Fly,https://musclewiki.com/trx/male/traps-middle/trx-rear-delt-fly,trx,traps-middle,trx-rear-delt-fly,"[""Stand facing away from the TRX straps and grab the handles with both hands.\\"", ""Step forward so that your body is in a plank position, with your arms straight and your body in a straight line from your head to your heels.\\"", ""Keeping your arms straight, slowly lift your arms out to the side, keeping them at the same height as your shoulders. Your body should form a \\\\""]",,,,
TRX Rear Delt Row,https://musclewiki.com/trx/male/traps-middle/trx-rear-delt-row,trx,traps-middle,trx-rear-delt-row,"[""Stand facing away from the TRX straps and grab the handles with both hands.\\"", ""Step away so your body is leaning away from the anchor point.\\"", ""Flex your elbows and pull your elbows straight back behind your body.\\"", ""Make sure to keep your elbows flared outward.\\""]",,,,
TRX W Raise,https://musclewiki.com/trx/male/traps-middle/trx-w-raise,trx,traps-middle,trx-w-raise,"[""Hold the TRX straps and lean away from the anchor point.\\"", ""Pull your elbows back while externally rotating your shoulder joint. Your arms should make a W shape at the back portion of the exercise.\\""]",,,,
